"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"84","205.97096594337742","116.2815515454978","4.854705666139947","-0.3088109632745694","0.016357421875","0.0185546875","0.01416015625","1500","0.0005930652895569529","0","0.0005930652895569529","0.0005930652895569529","84_83:0.00793850209190508","84_83:660","true"
"85","243.36364840977433","236.47180163552557","4.934186273626605","-0.30818679430408225","0.015380859375","0.0146484375","0.01611328125","1500","0.0002699850508301343","0","0.0002699850508301343","0.0002699850508301343","85_73:0.009254473834374943;85_84:0.007926615516888474;85_86:0.008255070016761762","85_73:660;85_84:660;85_86:660","true"
"86","251.11459711765409","261.6571606946652","4.841944840787324","-0.3084204215042869","0.02490234375","0.0078125","0.0419921875","1500","0.00026347045725499116","0","0.00026347045725499116","0.00026347045725499116","","","true"
"87","228.3597275178394","199.01869446217853","4.906399096887462","-0.3081333190724671","0.0205078125","0.02490234375","0.01611328125","1500","0.000272100525188489","0","0.000272100525188489","0.000272100525188489","87_86:0.007494902819333377","87_86:660","true"
"88","200.11706094667215","153.22530764875336","4.83543940589325","-0.3093682896600593","0.0078125","0.00927734375","0.00634765625","1500","0.0003435804614807865","0","0.0003435804614807865","0.0003435804614807865","88_87:0.005675375325224191;88_89:0.018648309878577046","88_87:660;88_89:660","true"
"89","260.70923233033125","18.477530325549484","4.756081561534875","-0.2933671127408654","0.025146484375","0.0244140625","0.02587890625","1500","0.0014695726174718193","0","0.0014695726174718193","0.0014695726174718193","","","true"
"90","450.25053271334247","151.74803611439182","4.641560429649339","-0.3124305227976497","0.161376953125","0.154296875","0.16845703125","1500","0.00021460860389910556","0","0.00021460860389910556","0.00021460860389910556","90_75:0.044744782344467604","90_75:660","true"
"91","188.69842776364143","144.6307781584726","4.6810722956144515","-0.3122188850304044","0.072998046875","0.09033203125","0.0556640625","1500","0.00019983498177515943","0","0.00019983498177515943","0.00019983498177515943","91_98:0.008304404936219867","91_98:660","true"
"92","186.12369765191104","226.81168085545704","4.98279413022588","-0.3068508672278072","0.015625","0.0126953125","0.0185546875","1500","0.00022429489954272163","0","0.00022429489954272163","0.00022429489954272163","92_102:0.009339000571427586","92_102:660","true"
"93","210.47334607659081","173.56720591135021","5.074896094498126","-0.3054233025897763","0.044189453125","0.04248046875","0.0458984375","1500","0.00040027169473871215","0","0.00040027169473871215","0.00040027169473871215","93_106:0.005102317665129169;93_87:0.007141209626107259","93_106:660;93_87:660","true"
"94","304.8303180362607","236.77919439152166","4.871484419572673","-0.30131215800183925","0.0068359375","0.0048828125","0.0087890625","1500","0.0002191108023251755","0","0.0002191108023251755","0.0002191108023251755","94_95:0.008149427184164254;94_90:0.005329785663682418","94_95:660;94_90:660","true"
"95","314.6079264141253","223.28133541192108","4.770274172765023","-0.30983777296413206","0.045166015625","0.0771484375","0.01318359375","1500","0.0018814020622834452","0","0.0018814020622834452","0.0018814020622834452","","","true"
"96","185.12431726216738","124.23827774279576","4.908899465396736","-0.3808425613799568","0.014892578125","0.01318359375","0.0166015625","1500","0.000172884267187442","0","0.000172884267187442","0.000172884267187442","96_95:0.007037981925442527;96_97:1;96_109:0.004979295174164622","96_95:660;96_97:660;96_109:660","true"
"97","155.7906081881533","0.45529176376125685","4.604340455093575","-0.29001332757886134","0.490478515625","0.31982421875","0.6611328125","1500","1","0","1","1","97_98:1","97_98:660","true"
"98","288.5351873302465","157.87707950117576","4.8740239938898675","-0.30884565871617875","0.010009765625","0.01171875","0.00830078125","1500","0.0002048475171022816","0","0.0002048475171022816","0.0002048475171022816","","","true"
"99","270.2381805034495","195.09063327594146","4.8328185666260035","-0.30841544163879403","0.03173828125","0.0390625","0.0244140625","1500","0.0002498588401718389","0","0.0002498588401718389","0.0002498588401718389","99_100:0.006550674894198305;99_98:0.005790197649448853","99_100:660;99_98:660","true"
"100","338.9472130652101","298.61044070074075","4.617807733808394","-0.31301996211206395","0.04052734375","0.03466796875","0.04638671875","1500","0.0001831969262142762","0","0.0001831969262142762","0.0001831969262142762","","","true"
"101","136.80386057666772","141.0903775195734","4.837258869961302","-0.30909185797628885","0.0263671875","0.0380859375","0.0146484375","1500","0.0005020743135734453","0","0.0005020743135734453","0.0005020743135734453","101_100:0.01001165944905072;101_102:0.018324186604213505","101_100:660;101_102:660","true"
"102","105.39246756931615","20.880965845693417","4.928513459109189","-0.3109169816834961","0.0107421875","0.015625","0.005859375","1500","0.00041757667549236833","0","0.00041757667549236833","0.00041757667549236833","","","true"
"103","184.50371103767517","67.34377315101978","4.837573398715993","-0.30837309010514524","0.016357421875","0.013671875","0.01904296875","1500","0.0005661351974148757","0","0.0005661351974148757","0.0005661351974148757","103_102:0.02047428231448173","103_102:660","true"
"104","231.92866166032755","243.76349848758554","4.941634500406007","-0.3078472368684161","0.02490234375","0.02587890625","0.02392578125","1500","0.0004575848506626849","0","0.0004575848506626849","0.0004575848506626849","104_111:0.026736218918655796;104_103:0.041113153555937004","104_111:660;104_103:660","true"
"105","242.8027341117882","195.57544893849456","4.790804924032546","-0.30895177408747826","0.01318359375","0.01513671875","0.01123046875","1500","0.0002303462416916908","0","0.0002303462416916908","0.0002303462416916908","105_104:0.015496635378160067","105_104:660","true"
"106","352.89390237361687","245.69297862346693","4.9576752098454815","-0.3075181097901725","0.011474609375","0.01416015625","0.0087890625","1500","0.00016932244116261855","0","0.00016932244116261855","0.00016932244116261855","106_105:0.004316565183443644","106_105:660","true"
"107","140.78671612893868","203.53606593045976","5.00622814135737","-0.3056479660049947","0.0556640625","0.0576171875","0.0537109375","1500","0.00047004208220870707","0","0.00047004208220870707","0.00047004208220870707","107_106:0.008075755629788184;107_108:0.00655958843418733","107_106:660;107_108:660","true"
"108","319.7082874562024","273.6748544871609","4.793162713255041","-0.3088561745150068","0.044677734375","0.06640625","0.02294921875","1500","0.00021512961668920165","0","0.00021512961668920165","0.00021512961668920165","108_112:0.005494792744168531","108_112:660","true"
"109","277.8745953957724","242.64831844289412","4.805683780649669","-0.30824108766644553","0.0546875","0.056640625","0.052734375","1500","0.0001327777193000143","0","0.0001327777193000143","0.0001327777193000143","","","true"
"110","254.41247571592004","149.07472230436227","4.872646659365962","-0.3082636760863272","0.0556640625","0.02099609375","0.09033203125","1500","0.0003635508499328231","0","0.0003635508499328231","0.0003635508499328231","110_100:0.0058915610349664915","110_100:660","true"
"111","128.9382198697815","167.62561183262173","4.831981551709251","-0.3095020539566623","0.01171875","0.01416015625","0.00927734375","1500","0.00046612411382004144","0","0.00046612411382004144","0.00046612411382004144","","","true"
