"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"34","295.24227546965744","115.89819384420126","4.678647041001685","-0.3124338462946453","0.025390625","0.02685546875","0.02392578125","1300","0.00015996892854440236","0","0.00015996892854440236","0.00015996892854440236","34_43:0.014424111979777221","34_43:660","true"
"35","282.732245722636","145.177455350549","4.907596270564682","-0.308301773576246","0.01708984375","0.01513671875","0.01904296875","1300","0.0002648303253487457","0","0.0002648303253487457","0.0002648303253487457","35_47:0.00631178729955198","35_47:660","true"
"36","314.95201387100843","424.71395861687273","4.812310284424935","-0.31175120998201256","0.011474609375","0.0107421875","0.01220703125","1300","0.0001228536541871794","0","0.0001228536541871794","0.0001228536541871794","36_51:0.004831182494898417","36_51:660","true"
"37","195.95916375399418","98.51802592401602","4.83787618478991","-0.30886995110205334","0.01171875","0.0087890625","0.0146484375","1300","0.0001856464172214393","0","0.0001856464172214393","0.0001856464172214393","37_38:0.004572296115956331","37_38:660","true"
"38","176.93028466942988","115.48172837362142","4.776672037943258","-0.31016511917022377","0.015869140625","0.00927734375","0.0224609375","1300","0.00022833214612833448","0","0.00022833214612833448","0.00022833214612833448","","","true"
"39","195.68587427587536","125.9569445330118","4.917331444180268","-0.30824769981735706","0.04296875","0.00537109375","0.08056640625","1300","0.00015224385039786884","0","0.00015224385039786884","0.00015224385039786884","39_38:0.005199912487912267","39_38:660","true"
"40","286.3315903972392","36.00065364025934","4.868228987727042","-0.30859152479413265","0.015625","0.01513671875","0.01611328125","1300","0.00016384290139353355","0","0.00016384290139353355","0.00016384290139353355","40_41:0.005142146921698454;40_39:0.005755730646037904","40_41:660;40_39:660","true"
"41","126.15758534459556","179.88701324195085","4.93553883581472","-0.30862641143413133","0.007080078125","0.0048828125","0.00927734375","1300","0.00022648765833637946","0","0.00022648765833637946","0.00022648765833637946","41_53:0.004726944483616102","41_53:660","true"
"42","253.5849188791781","140.97893966337207","5.063931727488216","-0.3066601274184393","0.01025390625","0.01220703125","0.00830078125","1300","0.00023084580073092745","0","0.00023084580073092745","0.00023084580073092745","42_41:0.005598557046422092;42_43:0.013676739872899413","42_41:660;42_43:660","true"
"43","102.75684072500344","60.17581296453077","4.829544641755511","-0.3101290706249939","0.017822265625","0.02001953125","0.015625","1300","0.0008371957368348579","0","0.0008371957368348579","0.0008371957368348579","43_44:0.021795764746183943","43_44:660","true"
