"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"28","195.08329213579378","95.3192986471957","0.0166015625","0.02734375","0.005859375","2584","0.0004380788045581427","0.0004380788045581427","0","0.0004380788045581427","0.0004380788045581427","28_27:0.002376604728156595;28_29:0.003433768201469678","28_27:0.0028147061108775573;28_29:0.0037022536557336505","28_27:68;28_29:68","true"
"29","166.32803371719467","98.39767395582956","0.006591796875","0.00732421875","0.005859375","2584","0.0002817564781382797","0.0002817564781382797","0","0.0002817564781382797","0.0002817564781382797","29_38:0.002252012391879804;29_28:0.003433768201469678;29_30:0.002157146396046361","29_38:0.005517721558556177;29_28:0.0037022536557336505;29_30:0.011417507798877707","29_38:68;29_28:68;29_30:68","true"
"30","213.26043516067688","69.60322232991271","0.00634765625","0.0107421875","0.001953125","2584","0.0006106080537862799","0.0006106080537862799","0","0.0006106080537862799","0.0006106080537862799","30_31:0.0033784701021809804;30_29:0.002157146396046361","30_31:0.008227769890474801;30_29:0.011417507798877707","30_31:68;30_29:68","true"
"31","173.3039158261299","49.825846459543726","0.021728515625","0.02685546875","0.0166015625","2584","0.00037797465526917903","0.00037797465526917903","0","0.00037797465526917903","0.00037797465526917903","31_30:0.0033784701021809804;31_32:0.003259454726563138;31_18:0.0036417880091366983","31_30:0.008227769890474801;31_32:0.004711258481126218;31_18:0.00332639914173552","31_30:68;31_32:68;31_18:68","true"
"32","307.96760631844415","33.95749204104471","0.006103515625","0.0078125","0.00439453125","2584","0.00041852460755064465","0.00041852460755064465","0","0.00041852460755064465","0.00041852460755064465","32_31:0.003259454726563138;32_33:0.0021290240740228505","32_31:0.004711258481126218;32_33:0.005110378404658944","32_31:68;32_33:68","true"
"33","141.4042828987735","156.24739640751702","0.01025390625","0.0205078125","0","2584","0.00017828283607591733","0.00017828283607591733","0","0.00017828283607591733","0.00017828283607591733","33_39:0.0014740686633410438;33_32:0.0021290240740228505;33_34:0.002825831691498193","33_39:0.0030483604883186632;33_32:0.005110378404658944;33_34:0.003862227508944549","33_39:68;33_32:68;33_34:68","true"
"34","213.41823333561547","141.32126310576072","0.004150390625","0.0078125","0.00048828125","2584","0.00023598709217878468","0.00023598709217878468","0","0.00023598709217878468","0.00023598709217878468","34_33:0.002825831691498193;34_35:0.002091706045649122","34_33:0.003862227508944549;34_35:0.0015986856000504701","34_33:68;34_35:68","true"
"35","378.8428714044896","535.4100235210967","0.008056640625","0.01025390625","0.005859375","2584","0.00022801880803337572","0.00022801880803337572","0","0.00022801880803337572","0.00022801880803337572","35_19:0.0020487373612323168;35_34:0.002091706045649122","35_19:0.0012183336611314988;35_34:0.0015986856000504701","35_19:80;35_34:68","true"
"36","215.7185537142534","47.30595641788799","0.00927734375","0.01611328125","0.00244140625","2584","0.0012720925185158703","0.0012720925185158703","0","0.0012720925185158703","0.0012720925185158703","36_41:0.00502265301413779;36_21:0.004604906631193922","36_41:0.0029155399390863312;36_21:0.0026413297861585805","36_41:68;36_21:68","true"
"37","238.8626726770139","40.14076585525947","0.009765625","0.01171875","0.0078125","2584","0.0011677839197311141","0.0011677839197311141","0","0.0011677839197311141","0.0011677839197311141","37_45:0.0046966576683910854;37_25:0.004193852230884254","37_45:0.008256389075678439;37_25:0.005610229706350944","37_45:68;37_25:68","true"
"38","100.97389188189395","68.19773847580453","0.0107421875","0.0146484375","0.0068359375","2584","0.0003983975345459695","0.0003983975345459695","0","0.0003983975345459695","0.0003983975345459695","38_29:0.002252012391879804;38_49:0.001973402620875725","38_29:0.005517721558556177;38_49:0.004006805527715207","38_29:68;38_49:68","true"
